left_record_id,right_record_id,left_title,right_title,left_fronturl,right_fronturl,left_category_teacher,right_category_teacher,title_similarity,combined_similarity,bucket_type
35997,38957,Умер двукратный олимпийский чемпион и бывший мировой рекордсмен на 400 м,Умер двукратный олимпийский чемпион и экс-мировой рекордсмен на 400 м,https://www.rbc.ru/sport/17/09/2024/66e94af19a794708f5ff8305,https://www.rbc.ru/sport/28/08/2024/66ced3309a794796d30c3038,Спорт,Спорт,92.19858156028369,92.13483146067416,title_bucket
33003,33773,В Курской области объявили опасность атаки дронов,В Курской области объявили опасность атаки дронов,https://www.rbc.ru/rbcfreenews/66b416769a7947182277a252,https://www.rbc.ru/rbcfreenews/66ba8ce99a794714d0896144,Политика,Политика,100.0,92.06896551724138,title_bucket
31336,34921,В Курской и Белгородской областях объявили ракетную опасность,В Курской и Белгородской областях объявили ракетную опасность,https://www.rbc.ru/politics/29/07/2024/66a6ebac9a794714f707912d,https://www.rbc.ru/rbcfreenews/66c519f69a79471ebb572047,Политика,Политика,100.0,91.72185430463577,title_bucket
15454,17606,Ферстаппен выиграл спринт на Гран-при Китая «Формулы-1»,Ферстаппен выиграл спринт на Гран-при Майами «Формулы-1»,https://www.rbc.ru/sport/20/04/2024/662368bd9a79473389d192cb,https://www.rbc.ru/sport/04/05/2024/66366b7d9a79472cc4922d2e,Спорт,Спорт,91.58878504672897,91.68081494057725,title_bucket
1253,3985,Большунов выиграл 14-ю гонку подряд на Кубке России,Большунов выиграл 16-ю гонку подряд на Кубке России,https://www.rbc.ru/sport/13/01/2024/65a27f6c9a7947851633929a,https://www.rbc.ru/sport/03/02/2024/65be12779a79473d17d77708,Спорт,Спорт,98.0392156862745,91.43835616438356,title_bucket
8551,9885,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65e8d9ef9a79471faa4856af,https://www.rbc.ru/rbcfreenews/65f50dda9a7947a938edd18a,Политика,Политика,100.0,91.25874125874127,title_bucket
23512,36395,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/666610dc9a79472f684bc2db,https://www.rbc.ru/rbcfreenews/66d232ca9a794776547df536,Политика,Политика,100.0,91.24579124579124,title_bucket
19166,23881,В Севастополе сработала ПВО,В Севастополе сработала ПВО,https://www.rbc.ru/rbcfreenews/6643f0229a794798e47561aa,https://www.rbc.ru/politics/12/06/2024/6668e4579a79473ca18d11b3,Политика,Политика,100.0,91.04477611940298,title_bucket
18706,36432,СК завел дело о теракте после обстрела Белгорода,СК завел дело о теракте после обстрела Белгорода,https://www.rbc.ru/rbcfreenews/66408d089a794710f281c294,https://www.rbc.ru/rbcfreenews/66d2af889a7947cff8858464,Политика,Политика,100.0,91.00346020761245,title_bucket
23512,30529,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/666610dc9a79472f684bc2db,https://www.rbc.ru/rbcfreenews/66a033c69a7947703fccdb27,Политика,Политика,100.0,90.9090909090909,title_bucket
15443,16400,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/662343b59a7947c5a408a4fc,https://www.rbc.ru/politics/26/04/2024/662ae24b9a79474247410264,Политика,Политика,100.0,90.84745762711864,title_bucket
10671,10835,Спасатели пробурили 140 м скважин на обвалившемся руднике «Пионер»,Спасатели пробурили скважину на 71 м в обвалившемся руднике «Пионер»,https://www.rbc.ru/rbcfreenews/65fd28409a79474fa8a19d96,https://www.rbc.ru/rbcfreenews/65fbd9c59a7947565ee7bdcf,Общество,Общество,95.38461538461537,90.52287581699346,title_bucket
19720,30541,В Воронежской области объявили опасность атаки беспилотников,В Воронежской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/6647e5249a7947157ba68d54,https://www.rbc.ru/rbcfreenews/66a05eab9a79477d0736f602,Политика,Политика,100.0,90.36544850498339,title_bucket
4716,17612,В Белгороде второй раз за день объявили ракетную опасность,В Белгороде второй раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65c4e6129a7947f1e455abc9,https://www.rbc.ru/rbcfreenews/66367c549a7947ed05d413dd,Политика,Политика,100.0,90.3010033444816,title_bucket
9548,17140,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/65f246a19a7947770ae354c3,https://www.rbc.ru/rbcfreenews/663228e19a79475a3377aca4,Политика,Политика,100.0,89.8989898989899,title_bucket
17736,33776,В Воронежской области объявили опасность атаки дронов,В Воронежской области объявили опасность атаки дронов,https://www.rbc.ru/rbcfreenews/6637fc039a79475c9c069f3e,https://www.rbc.ru/rbcfreenews/66ba99ba9a79478432150960,Политика,Политика,100.0,89.45578231292517,title_bucket
9482,9548,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/65f1b17d9a79470ca9a7a697,https://www.rbc.ru/rbcfreenews/65f246a19a7947770ae354c3,Политика,Политика,100.0,89.22558922558923,title_bucket
17140,23512,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663228e19a79475a3377aca4,https://www.rbc.ru/rbcfreenews/666610dc9a79472f684bc2db,Политика,Политика,100.0,88.88888888888889,title_bucket
19720,22118,В Воронежской области объявили опасность атаки беспилотников,В Воронежской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/6647e5249a7947157ba68d54,https://www.rbc.ru/rbcfreenews/665b9a579a7947611af18de5,Политика,Политика,100.0,88.70431893687709,title_bucket
5400,6954,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65cbe9629a79479595d301c5,https://www.rbc.ru/rbcfreenews/65da67d99a7947240e2554f5,Политика,Политика,100.0,88.11188811188812,title_bucket
11961,18906,Над Белгородской областью сбили дрон,Над Белгородской областью сбили дрон,https://www.rbc.ru/rbcfreenews/6606707d9a7947e604a9797b,https://www.rbc.ru/rbcfreenews/66420c5f9a7947dbde1230b2,Политика,Политика,100.0,88.08664259927798,title_bucket
25479,36554,ПВО сбила несколько целей на подлете к Белгороду,ПВО сбила несколько целей на подлете к Белгороду,https://www.rbc.ru/rbcfreenews/6676d2fb9a7947908c3373fc,https://www.rbc.ru/politics/01/09/2024/66d3f3689a79473845510a84,Политика,Политика,100.0,87.88927335640139,title_bucket
17140,30529,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663228e19a79475a3377aca4,https://www.rbc.ru/rbcfreenews/66a033c69a7947703fccdb27,Политика,Политика,100.0,87.87878787878788,title_bucket
15443,15749,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/662343b59a7947c5a408a4fc,https://www.rbc.ru/politics/22/04/2024/66265acb9a7947173ca2eb6e,Политика,Политика,100.0,87.79661016949153,title_bucket
32246,37525,Над Белгородской областью сбили украинский беспилотник,Над Белгородской областью сбили украинский беспилотник,https://www.rbc.ru/rbcfreenews/66adccc59a79473ec46931d8,https://www.rbc.ru/rbcfreenews/66dc9ef79a7947e319ff53ed,Политика,Политика,100.0,87.79661016949153,title_bucket
17689,18273,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663774d89a79475c684af17a,https://www.rbc.ru/rbcfreenews/663bf5769a7947b8d25f8951,Политика,Политика,100.0,87.5,title_bucket
19162,19747,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6643df0a9a79474f9a443136,https://www.rbc.ru/rbcfreenews/664857669a794757a81f4456,Политика,Политика,100.0,87.5,title_bucket
15443,18529,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/662343b59a7947c5a408a4fc,https://www.rbc.ru/politics/11/05/2024/663e8b3f9a7947baa528b505,Политика,Политика,100.0,87.45762711864407,title_bucket
22055,23395,КНДР снова отправила воздушные шары с мусором и навозом в Южную Корею,КНДР снова отправила воздушные шары с мусором и навозом в Южную Корею,https://www.rbc.ru/rbcfreenews/665b15489a794700d8de01ef,https://www.rbc.ru/rbcfreenews/6664d6c19a79472f66d34c9c,Политика,Политика,100.0,87.41935483870968,title_bucket
22118,30541,В Воронежской области объявили опасность атаки беспилотников,В Воронежской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/665b9a579a7947611af18de5,https://www.rbc.ru/rbcfreenews/66a05eab9a79477d0736f602,Политика,Политика,100.0,87.37541528239203,title_bucket
17140,36395,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663228e19a79475a3377aca4,https://www.rbc.ru/rbcfreenews/66d232ca9a794776547df536,Политика,Политика,100.0,87.20538720538721,title_bucket
22448,23651,Жителей Белгорода предупредили о ракетной опасности,Жителей Белгорода предупредили о ракетной опасности,https://www.rbc.ru/rbcfreenews/665e63259a7947574184231a,https://www.rbc.ru/rbcfreenews/666729729a7947b949be6b37,Политика,Политика,100.0,86.98630136986301,title_bucket
17140,18278,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663228e19a79475a3377aca4,https://www.rbc.ru/rbcfreenews/663c0d139a7947d5dd47b3b4,Политика,Политика,100.0,86.86868686868688,title_bucket
26047,26802,КНДР запустила баллистическую ракету в сторону Японского моря,КНДР запустила баллистическую ракету в сторону Японского моря,https://www.rbc.ru/rbcfreenews/667b3eb49a794760f0064d1e,https://www.rbc.ru/rbcfreenews/6681c04c9a79474a0e74b747,Политика,Политика,100.0,86.75496688741721,title_bucket
8918,16010,В Курске объявили ракетную опасность,В Курске объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65ed3d989a794758bdebc830,https://www.rbc.ru/politics/24/04/2024/662830da9a79470d6bbbb1e2,Политика,Политика,100.0,86.64259927797833,title_bucket
6954,9885,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65da67d99a7947240e2554f5,https://www.rbc.ru/rbcfreenews/65f50dda9a7947a938edd18a,Политика,Политика,100.0,86.36363636363636,title_bucket
9190,9448,В Белгороде и его окрестностях объявили ракетную опасность,В Белгороде и его окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65efc2af9a794765e4c5dc15,https://www.rbc.ru/rbcfreenews/65f1887a9a7947cabfa2ab6f,Политика,Политика,100.0,85.95317725752508,title_bucket
31493,32028,"Пловчиха Чикунова получит ₽2 млн за результат выше, чем у чемпионки Игр","Пловчиха Чикунова получит ₽4 млн за результаты выше, чем у чемпионок ОИ",https://www.rbc.ru/sport/29/07/2024/66a7fcc39a79474c1a9c247e,https://www.rbc.ru/sport/01/08/2024/66abedb39a794780869424cb,Спорт,Спорт,91.30434782608697,85.80645161290322,title_bucket
17689,19021,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663774d89a79475c684af17a,https://www.rbc.ru/rbcfreenews/664311839a79472a16ad8ca1,Политика,Политика,100.0,85.71428571428572,title_bucket
12934,19720,В Воронежской области объявили опасность атаки беспилотников,В Воронежской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/660ef3a79a7947ec0f953afe,https://www.rbc.ru/rbcfreenews/6647e5249a7947157ba68d54,Политика,Политика,100.0,85.71428571428572,title_bucket
24792,39237,Путин одобрил проект договора о стратегическом партнерстве с Ираном,Путин одобрил проект договора о стратегическом партнерстве с КНДР,https://www.rbc.ru/rbcfreenews/66eb152c9a794769db3aeca9,https://www.rbc.ru/rbcfreenews/6671435f9a79474175c19bc2,Политика,Политика,93.93939393939394,85.66775244299674,title_bucket
16992,17912,Гладков предупредил о ракетной опасности в Белгороде,Гладков предупредил о ракетной опасности в Белгороде,https://www.rbc.ru/politics/30/04/2024/663075229a794763fa8865aa,https://www.rbc.ru/politics/07/05/2024/6639812b9a79475b8994fa3f,Политика,Политика,100.0,85.6655290102389,title_bucket
31313,32198,На Олимпиаде побили 16-летний рекорд Фелпса,На Олимпиаде побили второй 16-летний рекорд Фелпса,https://www.rbc.ru/sport/28/07/2024/66a694f89a794718790f5146,https://www.rbc.ru/sport/02/08/2024/66ad2aed9a7947eff90e1741,Спорт,Спорт,92.47311827956989,85.56521739130434,title_bucket
20671,40841,Богомаз сообщил об уничтожении дрона в Брянской области,Богомаз сообщил об уничтожении дрона над Брянской областью,https://www.rbc.ru/rbcfreenews/664fc5259a7947d12511cfb4,https://www.rbc.ru/rbcfreenews/66f86f839a7947c1a6290772,Политика,Политика,92.03539823008849,85.3781512605042,title_bucket
18273,19021,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/663bf5769a7947b8d25f8951,https://www.rbc.ru/rbcfreenews/664311839a79472a16ad8ca1,Политика,Политика,100.0,85.35714285714285,title_bucket
32037,33670,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/politics/02/08/2024/66abffba9a794729a97b7c25,https://www.rbc.ru/rbcfreenews/66b9d39e9a7947022869403d,Политика,Политика,100.0,84.96503496503497,title_bucket
18542,19726,В Белгороде и окрестностях второй раз за ночь объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность второй раз за ночь,https://www.rbc.ru/politics/11/05/2024/663ec3339a79470cedf8eaea,https://www.rbc.ru/politics/18/05/2024/6647f7ec9a7947f0a6e8a863,Политика,Политика,100.0,84.71337579617835,title_bucket
19104,19115,В Белгороде объявлена ракетная опасность,В Белгороде объявлена ракетная опасность,https://www.rbc.ru/rbcfreenews/6643696d9a794787f03ea7ca,https://www.rbc.ru/rbcfreenews/664379a19a79477232dc9b08,Политика,Политика,100.0,84.69750889679715,title_bucket
18917,19162,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66421ed99a794775d936c74c,https://www.rbc.ru/rbcfreenews/6643df0a9a79474f9a443136,Политика,Политика,100.0,84.64285714285714,title_bucket
9548,18278,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/65f246a19a7947770ae354c3,https://www.rbc.ru/rbcfreenews/663c0d139a7947d5dd47b3b4,Политика,Политика,100.0,84.51178451178451,title_bucket
23102,26274,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6662a6f99a79472198912c70,https://www.rbc.ru/rbcfreenews/667d1ba29a794765e3183895,Политика,Политика,100.0,84.40677966101696,title_bucket
11041,40841,Богомаз сообщил об уничтожении дрона над Брянской областью,Богомаз сообщил об уничтожении дрона над Брянской областью,https://www.rbc.ru/rbcfreenews/65fe3ce19a7947916ae46c25,https://www.rbc.ru/rbcfreenews/66f86f839a7947c1a6290772,Политика,Политика,100.0,84.2809364548495,title_bucket
8571,18290,Над Брянской областью сбили два беспилотника,Над Брянской областью сбили два беспилотника,https://www.rbc.ru/rbcfreenews/65e931819a79473eb876b587,https://www.rbc.ru/rbcfreenews/663c37cd9a79472d386d7bbf,Политика,Политика,100.0,84.21052631578947,title_bucket
17361,30541,В Воронежской области объявили опасность атаки беспилотников,В Воронежской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663432539a79471d92e4fa0d,https://www.rbc.ru/rbcfreenews/66a05eab9a79477d0736f602,Политика,Политика,100.0,84.0531561461794,title_bucket
18529,19390,В Белгороде и окрестностях объявили ракетную опасность,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/11/05/2024/663e8b3f9a7947baa528b505,https://www.rbc.ru/rbcfreenews/6645c1c89a79471aeaefbd09,Политика,Политика,100.0,83.72881355932203,title_bucket
2330,3235,Комитет Госдумы одобрил проект о конфискации имущества за фейки об армии,Комитет Госдумы одобрил проект о конфискациях за фейки об армии,https://www.rbc.ru/rbcfreenews/65b7684f9a794798f6e78527,https://www.rbc.ru/rbcfreenews/65ae315d9a794707ba757247,Политика,Политика,90.37037037037037,83.63047001620745,title_bucket
17166,20352,В Днепропетровской области сообщили о повреждении объекта инфраструктуры,В Днепропетровской области сообщили о повреждении объектов инфраструктуры,https://www.rbc.ru/rbcfreenews/664d7ce19a794771ee62490a,https://www.rbc.ru/rbcfreenews/663267f19a794746b0c79913,Политика,Политика,97.93103448275862,83.5725677830941,title_bucket
19747,20355,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664857669a794757a81f4456,https://www.rbc.ru/rbcfreenews/664d87ce9a794744fce6076d,Политика,Политика,100.0,83.57142857142857,title_bucket
31667,32037,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66a96d969a79476e95362bf6,https://www.rbc.ru/politics/02/08/2024/66abffba9a794729a97b7c25,Политика,Политика,100.0,83.56643356643356,title_bucket
13646,15488,В Липецкой области ввели режим воздушной опасности,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661508569a79474a11a55d51,https://www.rbc.ru/rbcfreenews/6623bb469a7947c5ece737ed,Общество,Политика,100.0,83.50515463917526,title_bucket
18278,36395,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663c0d139a7947d5dd47b3b4,https://www.rbc.ru/rbcfreenews/66d232ca9a794776547df536,Политика,Политика,100.0,83.5016835016835,title_bucket
21548,22070,Два беспилотника сбили над Белгородской областью,Два беспилотника сбили над Белгородской областью,https://www.rbc.ru/rbcfreenews/66571a3d9a7947cad21ac3a0,https://www.rbc.ru/rbcfreenews/665b33b19a79472b413fef40,Политика,Политика,100.0,83.39100346020761,title_bucket
9885,32996,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65f50dda9a7947a938edd18a,https://www.rbc.ru/rbcfreenews/66b401f69a7947c90e8d8bc2,Политика,Политика,100.0,83.21678321678321,title_bucket
22257,23423,В Белгороде объявили ракетную опасность,В Белгороде объявили ракетную опасность,https://www.rbc.ru/politics/02/06/2024/665cdac69a7947988f580efa,https://www.rbc.ru/rbcfreenews/666551a39a7947eab562cb15,Политика,Политика,100.0,83.21428571428572,title_bucket
18381,33773,В Курской области объявили опасность атаки дронов,В Курской области объявили опасность атаки дронов,https://www.rbc.ru/rbcfreenews/663d2b849a794709396c83b5,https://www.rbc.ru/rbcfreenews/66ba8ce99a794714d0896144,Политика,Политика,100.0,83.10344827586206,title_bucket
28938,29740,Над Белгородской областью сбили беспилотник,Над Белгородской областью сбили беспилотник,https://www.rbc.ru/rbcfreenews/6692eb9b9a79473c7ff55bfd,https://www.rbc.ru/rbcfreenews/66996b729a79473528b7f0bf,Политика,Политика,100.0,83.09859154929578,title_bucket
8623,8630,"ФСБ сообщила о ликвидации террористов, планировавших напасть на синагогу","ФСБ сообщила о ликвидации террористов, планировавших напасть на синагогу",https://www.rbc.ru/politics/07/03/2024/65e9a4e99a79475b8ab0aeee,https://www.rbc.ru/politics/07/03/2024/65e9a5b29a79476f33ac4f25,Политика,Политика,100.0,83.01282051282051,title_bucket
6954,8551,В Курской области объявили ракетную опасность,В Курской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/65da67d99a7947240e2554f5,https://www.rbc.ru/rbcfreenews/65e8d9ef9a79471faa4856af,Политика,Политика,100.0,82.86713286713287,title_bucket
18278,23512,В Курской области объявили опасность атаки беспилотников,В Курской области объявили опасность атаки беспилотников,https://www.rbc.ru/rbcfreenews/663c0d139a7947d5dd47b3b4,https://www.rbc.ru/rbcfreenews/666610dc9a79472f684bc2db,Политика,Политика,100.0,82.82828282828282,title_bucket
11041,20671,Богомаз сообщил об уничтожении дрона в Брянской области,Богомаз сообщил об уничтожении дрона над Брянской областью,https://www.rbc.ru/rbcfreenews/664fc5259a7947d12511cfb4,https://www.rbc.ru/rbcfreenews/65fe3ce19a7947916ae46c25,Политика,Политика,92.03539823008849,82.68907563025209,title_bucket
