conflict_type,record_id,related_record_id,title,fronturl,category_teacher,other_category_teacher,score
exact_normalized_title_label_conflict,15488,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/6623bb469a7947c5ece737ed,Политика,Общество | Политика,
exact_normalized_title_label_conflict,16025,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/662860679a794770fbc44fce,Политика,Общество | Политика,
exact_normalized_title_label_conflict,21081,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/6653d52a9a79476673ac5fc6,Общество,Общество | Политика,
exact_normalized_title_label_conflict,29088,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/669461cd9a79477e54629d16,Политика,Общество | Политика,
exact_normalized_title_label_conflict,31091,,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/66a45d1a9a79478e280cd7e4,Политика,Общество | Политика,
exact_normalized_title_label_conflict,6638,,В приложении Райффайзенбанка произошел сбой,https://www.rbc.ru/technology_and_media/22/02/2024/65d7174d9a7947797b043e1b,Технологии и медиа,Технологии и медиа | Финансы,
exact_normalized_title_label_conflict,11972,,В приложении Райффайзенбанка произошел сбой,https://www.rbc.ru/finances/29/03/2024/660684c49a7947f5f948d602,Финансы,Технологии и медиа | Финансы,
exact_normalized_title_label_conflict,14909,,Движение автомобилей по Крымскому мосту временно перекрыли,https://www.rbc.ru/rbcfreenews/661f3a3a9a7947be8efa90bb,Общество,Общество | Политика,
exact_normalized_title_label_conflict,16232,,Движение автомобилей по Крымскому мосту временно перекрыли,https://www.rbc.ru/rbcfreenews/6629e5fd9a7947535c1b1e86,Политика,Общество | Политика,
exact_normalized_title_label_conflict,18924,,На всей территории Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664229a89a7947bc9ebabfe8,Политика,Общество | Политика,
exact_normalized_title_label_conflict,19889,,На всей территории Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6649a2059a79476a992df6ce,Общество,Общество | Политика,
exact_normalized_title_label_conflict,32217,,На всей территории Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/66ad58ab9a79478339921140,Политика,Общество | Политика,
exact_normalized_title_label_conflict,8078,,На Крымском мосту перекрыли движение автотранспорта,https://www.rbc.ru/rbcfreenews/65e51bd69a794769bc9ab9a8,Политика,Общество | Политика,
exact_normalized_title_label_conflict,18819,,На Крымском мосту перекрыли движение автотранспорта,https://www.rbc.ru/rbcfreenews/6641872e9a794735d533715e,Общество,Общество | Политика,
exact_normalized_title_label_conflict,25282,,Правительство смягчило требования по продаже валютной выручки,https://www.rbc.ru/politics/21/06/2024/667526759a7947ebcac774e5,Политика,Политика | Экономика,
exact_normalized_title_label_conflict,28844,,Правительство смягчило требования по продаже валютной выручки,https://www.rbc.ru/economics/13/07/2024/669227079a7947ff610f4889,Экономика,Политика | Экономика,
near_duplicate_label_conflict,37216,37217.0,Мутко для РБК,https://www.rbc.ru/?video_id=66d9af089a7947789518ebb7,,,100.0
near_duplicate_label_conflict,25282,28844.0,Правительство смягчило требования по продаже валютной выручки,https://www.rbc.ru/politics/21/06/2024/667526759a7947ebcac774e5,Политика,Экономика,100.0
near_duplicate_label_conflict,22403,23102.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,Политика,93.22033898305084
near_duplicate_label_conflict,13646,15488.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661508569a79474a11a55d51,Общество,Политика,83.50515463917526
near_duplicate_label_conflict,28985,29273.0,В очереди перед Крымским мостом скопилась 1 тыс. машин,https://www.rbc.ru/rbcfreenews/6695fa819a7947113d98b968,Общество,Политика,82.5938566552901
near_duplicate_label_conflict,28985,29108.0,"В очереди перед Крымским мостом скопились 1,2 тыс. машин",https://www.rbc.ru/rbcfreenews/66949bcd9a7947f24c73888b,Общество,Политика,79.93197278911565
near_duplicate_label_conflict,30094,33640.0,В очереди перед Крымским мостом скопилось более 1 тыс. машин,https://www.rbc.ru/rbcfreenews/66b995199a7947e3b818bdf9,Общество,Политика,78.92976588628763
near_duplicate_label_conflict,13646,13936.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661508569a79474a11a55d51,Общество,Политика,78.00687285223368
near_duplicate_label_conflict,19895,21430.0,В Белгородской области во второй раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665626f69a79478284f598c3,Политика,Общество,73.8362760834671
near_duplicate_label_conflict,9259,9265.0,В Иваново потерпел крушение военно-транспортный самолет Ил-76,https://www.rbc.ru/politics/12/03/2024/65f031fc9a7947c566adab2f,Политика,Общество,73.50993377483444
near_duplicate_label_conflict,11029,11240.0,Депздрав обновил список госпитализированных в больницы Москвы,https://www.rbc.ru/society/24/03/2024/66000fc49a7947de92d03a53,Общество,Политика,72.99509001636662
near_duplicate_label_conflict,27684,36603.0,Движение по Крымскому мосту перекрыли на 16 минут,https://www.rbc.ru/rbcfreenews/668868339a794743a103dbcd,Политика,Общество,71.94492254733218
near_duplicate_label_conflict,22403,23294.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,Политика,71.86440677966101
near_duplicate_label_conflict,20510,22403.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/23/05/2024/664eb04f9a79476df58bf77d,Политика,Общество,71.1864406779661
near_duplicate_label_conflict,13646,16025.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661508569a79474a11a55d51,Общество,Политика,70.10309278350515
near_duplicate_label_conflict,22156,22403.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665c14a89a7947010fee526f,Политика,Общество,69.4915254237288
near_duplicate_label_conflict,22403,24428.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,Политика,67.79661016949152
near_duplicate_label_conflict,6144,14909.0,Движение автомобилей по Крымскому мосту временно перекрыли,https://www.rbc.ru/rbcfreenews/661f3a3a9a7947be8efa90bb,Общество,Политика,67.57215619694396
near_duplicate_label_conflict,22403,26052.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,Политика,67.45762711864407
near_duplicate_label_conflict,14905,21081.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661f2dcf9a79470c1329b0bd,Политика,Общество,67.35395189003437
near_duplicate_label_conflict,19718,22403.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/politics/18/05/2024/6647d9a79a794743c7b30496,Политика,Общество,67.11864406779662
near_duplicate_label_conflict,22403,24969.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665de9c59a7947d689be5020,Общество,Политика,65.42372881355932
near_duplicate_label_conflict,18924,19889.0,На всей территории Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/664229a89a7947bc9ebabfe8,Политика,Общество,64.93506493506493
near_duplicate_label_conflict,14899,21079.0,Опасность атаки беспилотников объявили в Воронежской области,https://www.rbc.ru/rbcfreenews/661f1c309a7947e278650a91,Политика,Общество,64.60032626427406
near_duplicate_label_conflict,19889,32217.0,На всей территории Белгородской области объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6649a2059a79476a992df6ce,Общество,Политика,64.28571428571428
near_duplicate_label_conflict,22028,22403.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/665ae4039a79472117be61c1,Политика,Общество,64.0677966101695
near_duplicate_label_conflict,8078,18819.0,На Крымском мосту перекрыли движение автотранспорта,https://www.rbc.ru/rbcfreenews/65e51bd69a794769bc9ab9a8,Политика,Общество,64.04109589041096
near_duplicate_label_conflict,19895,27204.0,В Белгородской области второй раз за день объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6649b0e09a79474c144aa281,Общество,Политика,63.97415185783522
near_duplicate_label_conflict,13646,14905.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661508569a79474a11a55d51,Общество,Политика,63.230240549828174
near_duplicate_label_conflict,21081,29088.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/6653d52a9a79476673ac5fc6,Общество,Политика,62.88659793814433
near_duplicate_label_conflict,19390,22403.0,В Белгороде и окрестностях объявили ракетную опасность,https://www.rbc.ru/rbcfreenews/6645c1c89a79471aeaefbd09,Политика,Общество,62.03389830508475
near_duplicate_label_conflict,14909,16232.0,Движение автомобилей по Крымскому мосту временно перекрыли,https://www.rbc.ru/rbcfreenews/661f3a3a9a7947be8efa90bb,Общество,Политика,60.86956521739131
near_duplicate_label_conflict,12502,13646.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/660ba9a29a794731cc61934e,Политика,Общество,60.82474226804124
near_duplicate_label_conflict,15488,21081.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/6623bb469a7947c5ece737ed,Политика,Общество,60.82474226804124
near_duplicate_label_conflict,33040,34661.0,«Газпром» продолжает транзит газа через Украину на ГИС «Суджа»,https://www.rbc.ru/rbcfreenews/66b46fea9a7947ebd13284fa,Политика,Экономика,59.395973154362416
near_duplicate_label_conflict,15800,26875.0,В работе приложений Альфа-банка произошел сбой,https://www.rbc.ru/finances/01/07/2024/66826b899a79472a357f28e4,Финансы,Общество,59.106529209621996
near_duplicate_label_conflict,12498,12558.0,Число пострадавших при атаке дрона в Татарстане увеличилось до 13,https://www.rbc.ru/rbcfreenews/660bfb7a9a79472d2ff71d48,Общество,Политика,58.63192182410424
near_duplicate_label_conflict,11174,16976.0,На Крымском мосту временно перекрыли движение,https://www.rbc.ru/rbcfreenews/663022c89a794738f1f7a281,Политика,Общество,58.13148788927336
near_duplicate_label_conflict,21081,31091.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/6653d52a9a79476673ac5fc6,Общество,Политика,56.70103092783505
near_duplicate_label_conflict,6638,11972.0,В приложении Райффайзенбанка произошел сбой,https://www.rbc.ru/technology_and_media/22/02/2024/65d7174d9a7947797b043e1b,Технологии и медиа,Финансы,55.28169014084507
near_duplicate_label_conflict,13936,21081.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/661718d29a79478e72777762,Политика,Общество,53.95189003436427
near_duplicate_label_conflict,5883,20722.0,В Белгородской области сбили два дрона,https://www.rbc.ru/rbcfreenews/65d01bfe9a79472ac97eb3f3,Политика,Общество,53.8878842676311
near_duplicate_label_conflict,20722,33181.0,В Белгородской области сбили 29 дронов,https://www.rbc.ru/politics/09/08/2024/66b571899a794713dcff165d,Политика,Общество,52.07956600361663
near_duplicate_label_conflict,16025,21081.0,В Липецкой области ввели режим воздушной опасности,https://www.rbc.ru/rbcfreenews/662860679a794770fbc44fce,Политика,Общество,51.89003436426116
